timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.75113E+12,763,userRegistration,200,OK,Thread Group - reqres 1-1,text,TRUE,,1185,297,3,3,https://reqres.in/api/register,762,0,266
1.75113E+12,464,userLogin,200,OK,Thread Group - reqres 1-1,text,TRUE,,1180,294,4,4,https://reqres.in/api/login,464,0,0
1.75113E+12,701,userRegistration,200,OK,Thread Group - reqres 1-2,text,TRUE,,1193,297,4,4,https://reqres.in/api/register,701,0,223
1.75113E+12,697,userRegistration,200,OK,Thread Group - reqres 1-3,text,TRUE,,1193,297,4,4,https://reqres.in/api/register,697,0,213
1.75113E+12,152,getUserList,200,OK,Thread Group - reqres 1-1,text,TRUE,,2303,212,4,4,https://reqres.in/api/users?page=2,152,0,0
1.75113E+12,440,userLogin,200,OK,Thread Group - reqres 1-3,text,TRUE,,1188,294,5,5,https://reqres.in/api/login,440,0,0
1.75113E+12,569,userLogin,200,OK,Thread Group - reqres 1-2,text,TRUE,,1180,294,5,5,https://reqres.in/api/login,569,0,0
1.75113E+12,677,userRegistration,200,OK,Thread Group - reqres 1-4,text,TRUE,,1184,297,5,5,https://reqres.in/api/register,677,0,190
1.75113E+12,256,getSingleUser,200,OK,Thread Group - reqres 1-1,text,TRUE,,1572,207,6,6,https://reqres.in/api/users/7,256,0,0
1.75113E+12,653,userRegistration,200,OK,Thread Group - reqres 1-5,text,TRUE,,1185,297,6,6,https://reqres.in/api/register,653,0,211
1.75113E+12,107,getUserList,200,OK,Thread Group - reqres 1-3,text,TRUE,,2303,212,7,7,https://reqres.in/api/users?page=2,107,0,0
1.75113E+12,101,getUserList,200,OK,Thread Group - reqres 1-2,text,TRUE,,2303,212,7,7,https://reqres.in/api/users?page=2,101,0,0
1.75113E+12,464,userLogin,200,OK,Thread Group - reqres 1-4,text,TRUE,,1179,294,7,7,https://reqres.in/api/login,464,0,0
1.75113E+12,633,userRegistration,200,OK,Thread Group - reqres 1-6,text,TRUE,,1192,297,7,7,https://reqres.in/api/register,633,0,177
1.75113E+12,116,getUserList,200,OK,Thread Group - reqres 1-4,text,TRUE,,2303,212,8,8,https://reqres.in/api/users?page=2,113,0,0
1.75113E+12,116,getSingleUser,200,OK,Thread Group - reqres 1-3,text,TRUE,,1572,207,8,8,https://reqres.in/api/users/7,116,0,0
1.75113E+12,164,getSingleUser,200,OK,Thread Group - reqres 1-2,text,TRUE,,1572,207,8,8,https://reqres.in/api/users/7,164,0,0
1.75113E+12,554,userLogin,200,OK,Thread Group - reqres 1-5,text,TRUE,,1187,294,8,8,https://reqres.in/api/login,554,0,0
1.75113E+12,654,createNewUser,201,Created,Thread Group - reqres 1-1,text,TRUE,,1270,295,8,8,https://reqres.in/api/users,654,0,0
1.75113E+12,650,userRegistration,200,OK,Thread Group - reqres 1-7,text,TRUE,,1188,297,8,8,https://reqres.in/api/register,650,0,203
1.75113E+12,96,getSingleUser,200,OK,Thread Group - reqres 1-4,text,TRUE,,1572,207,8,8,https://reqres.in/api/users/7,96,0,0
1.75113E+12,499,userLogin,200,OK,Thread Group - reqres 1-6,text,TRUE,,1183,294,9,9,https://reqres.in/api/login,499,0,0
1.75113E+12,205,getUserList,200,OK,Thread Group - reqres 1-5,text,TRUE,,2303,212,9,9,https://reqres.in/api/users?page=2,205,0,0
1.75113E+12,482,userLogin,200,OK,Thread Group - reqres 1-7,text,TRUE,,1183,294,9,9,https://reqres.in/api/login,482,0,0
1.75113E+12,477,createNewUser,201,Created,Thread Group - reqres 1-2,text,TRUE,,1267,296,10,10,https://reqres.in/api/users,477,0,0
1.75113E+12,440,createNewUser,201,Created,Thread Group - reqres 1-4,text,TRUE,,1269,291,10,10,https://reqres.in/api/users,440,0,0
1.75113E+12,486,createNewUser,201,Created,Thread Group - reqres 1-3,text,TRUE,,1267,289,10,10,https://reqres.in/api/users,486,0,0
1.75113E+12,499,updateUserData,200,OK,Thread Group - reqres 1-1,text,TRUE,,1253,293,10,10,https://reqres.in/api/users/983,499,0,0
1.75113E+12,140,getUserList,200,OK,Thread Group - reqres 1-6,text,TRUE,,2302,212,10,10,https://reqres.in/api/users?page=2,140,0,0
1.75113E+12,133,getUserList,200,OK,Thread Group - reqres 1-7,text,TRUE,,2302,212,10,10,https://reqres.in/api/users?page=2,133,0,0
1.75113E+12,659,userRegistration,200,OK,Thread Group - reqres 1-9,text,TRUE,,1196,297,10,10,https://reqres.in/api/register,659,0,202
1.75113E+12,1239,userRegistration,200,OK,Thread Group - reqres 1-8,text,TRUE,,1198,297,10,10,https://reqres.in/api/register,1239,0,253
1.75113E+12,169,getSingleUser,200,OK,Thread Group - reqres 1-5,text,TRUE,,1572,207,10,10,https://reqres.in/api/users/7,169,0,0
1.75113E+12,443,updateUserData,200,OK,Thread Group - reqres 1-3,text,TRUE,,1262,302,10,10,https://reqres.in/api/users/823,443,0,0
1.75113E+12,663,userRegistration,200,OK,Thread Group - reqres 1-10,text,TRUE,,1184,297,10,10,https://reqres.in/api/register,663,0,200
1.75113E+12,460,updateUserData,200,OK,Thread Group - reqres 1-2,text,TRUE,,1239,291,10,10,https://reqres.in/api/users/995,460,0,0
1.75113E+12,170,getSingleUser,200,OK,Thread Group - reqres 1-7,text,TRUE,,1571,207,10,10,https://reqres.in/api/users/7,170,0,0
1.75113E+12,214,getSingleUser,200,OK,Thread Group - reqres 1-6,text,TRUE,,1571,207,10,10,https://reqres.in/api/users/7,214,0,0
1.75113E+12,746,deleteUser,204,No Content,Thread Group - reqres 1-1,,TRUE,,1094,231,10,10,https://reqres.in/api/users/983,0,0,0
1.75113E+12,490,userLogin,200,OK,Thread Group - reqres 1-9,text,TRUE,,1179,294,9,9,https://reqres.in/api/login,490,0,0
1.75113E+12,712,updateUserData,200,OK,Thread Group - reqres 1-4,text,TRUE,,1247,299,9,9,https://reqres.in/api/users/462,712,0,0
1.75113E+12,496,createNewUser,201,Created,Thread Group - reqres 1-5,text,TRUE,,1263,296,9,9,https://reqres.in/api/users,496,0,0
1.75113E+12,492,userLogin,200,OK,Thread Group - reqres 1-8,text,TRUE,,1180,294,9,9,https://reqres.in/api/login,492,0,0
1.75113E+12,470,createNewUser,201,Created,Thread Group - reqres 1-7,text,TRUE,,1272,298,9,9,https://reqres.in/api/users,470,0,0
1.75113E+12,483,createNewUser,201,Created,Thread Group - reqres 1-6,text,TRUE,,1261,288,9,9,https://reqres.in/api/users,483,0,0
1.75113E+12,507,deleteUser,204,No Content,Thread Group - reqres 1-3,,TRUE,,1102,231,9,9,https://reqres.in/api/users/823,0,0,0
1.75113E+12,179,getUserList,200,OK,Thread Group - reqres 1-9,text,TRUE,,2302,212,8,8,https://reqres.in/api/users?page=2,179,0,0
1.75113E+12,283,getUserList,200,OK,Thread Group - reqres 1-8,text,TRUE,,2303,212,8,8,https://reqres.in/api/users?page=2,283,0,0
1.75113E+12,776,deleteUser,204,No Content,Thread Group - reqres 1-2,,TRUE,,1102,231,8,8,https://reqres.in/api/users/995,0,0,0
1.75113E+12,673,userLogin,200,OK,Thread Group - reqres 1-10,text,TRUE,,1187,294,7,7,https://reqres.in/api/login,673,0,0
1.75113E+12,621,deleteUser,204,No Content,Thread Group - reqres 1-4,,TRUE,,1098,231,7,7,https://reqres.in/api/users/462,0,0,0
1.75113E+12,599,updateUserData,200,OK,Thread Group - reqres 1-7,text,TRUE,,1246,295,6,6,https://reqres.in/api/users/828,599,0,0
1.75113E+12,582,updateUserData,200,OK,Thread Group - reqres 1-6,text,TRUE,,1247,295,6,6,https://reqres.in/api/users/548,582,0,0
1.75113E+12,543,updateUserData,200,OK,Thread Group - reqres 1-5,text,TRUE,,1254,302,6,6,https://reqres.in/api/users/813,543,0,0
1.75113E+12,154,getSingleUser,200,OK,Thread Group - reqres 1-8,text,TRUE,,1572,207,6,6,https://reqres.in/api/users/7,154,0,0
1.75113E+12,163,getSingleUser,200,OK,Thread Group - reqres 1-9,text,TRUE,,1571,207,6,6,https://reqres.in/api/users/7,163,0,0
1.75113E+12,123,getUserList,200,OK,Thread Group - reqres 1-10,text,TRUE,,2303,212,6,6,https://reqres.in/api/users?page=2,123,0,0
1.75113E+12,471,deleteUser,204,No Content,Thread Group - reqres 1-7,,TRUE,,1098,231,6,6,https://reqres.in/api/users/828,0,0,0
1.75113E+12,598,deleteUser,204,No Content,Thread Group - reqres 1-6,,TRUE,,1098,231,5,5,https://reqres.in/api/users/548,0,0,0
1.75113E+12,99,getSingleUser,200,OK,Thread Group - reqres 1-10,text,TRUE,,1572,207,4,4,https://reqres.in/api/users/7,99,0,0
1.75113E+12,515,deleteUser,204,No Content,Thread Group - reqres 1-5,,TRUE,,1098,231,4,4,https://reqres.in/api/users/813,0,0,0
1.75113E+12,747,createNewUser,201,Created,Thread Group - reqres 1-8,text,TRUE,,1268,297,3,3,https://reqres.in/api/users,747,0,0
1.75113E+12,499,createNewUser,201,Created,Thread Group - reqres 1-9,text,TRUE,,1268,297,3,3,https://reqres.in/api/users,499,0,0
1.75113E+12,569,updateUserData,200,OK,Thread Group - reqres 1-9,text,TRUE,,1253,293,3,3,https://reqres.in/api/users/733,569,0,0
1.75113E+12,853,updateUserData,200,OK,Thread Group - reqres 1-8,text,TRUE,,1251,295,3,3,https://reqres.in/api/users/109,853,0,0
1.75113E+12,1009,createNewUser,201,Created,Thread Group - reqres 1-10,text,TRUE,,1263,291,3,3,https://reqres.in/api/users,1009,0,0
1.75113E+12,495,deleteUser,204,No Content,Thread Group - reqres 1-9,,TRUE,,1101,231,3,3,https://reqres.in/api/users/733,0,0,0
1.75113E+12,487,deleteUser,204,No Content,Thread Group - reqres 1-8,,TRUE,,1101,231,2,2,https://reqres.in/api/users/109,0,0,0
1.75113E+12,504,updateUserData,200,OK,Thread Group - reqres 1-10,text,TRUE,,1254,298,1,1,https://reqres.in/api/users/78,504,0,0
1.75113E+12,542,deleteUser,204,No Content,Thread Group - reqres 1-10,,TRUE,,1093,230,1,1,https://reqres.in/api/users/78,0,0,0
